  34.651  -86.543   186.0 em64rp kd4qio AL
starthere
  39.917  116.383     0.0 om89ew Beijing China
stophere
  -3.850  -32.417     0.0 hi36sd PP0-PY0 Fernando de Noronha,V.d.Remedios
  42.106  -72.592     0.0 fn32qc Springfield MA
  42.373  -71.237     0.0 fn42ji Waltham MA
  42.222  -70.965     0.0 fn42mf Weymouth MA
  42.260  -71.805     0.0 fn42cg Worcester MA
  42.283  -83.748     0.0 en82dg Ann Arbor MI
  42.316  -85.180     0.0 en72jh Battle Creek MI
  43.601  -83.887     0.0 en83bo Bay City MI
  42.323  -83.175     0.0 en82jh Dearborn MI
  42.325  -83.292     0.0 en82ih Dearborn Heights MI
  42.330  -83.049     0.0 en82lh Detroit MI
  42.735  -84.483     0.0 en72sr East Lansing MI
  43.022  -83.683     0.0 en83da Flint MI
  42.967  -85.670     0.0 en72dx Grand Rapids MI
  42.245  -84.406     0.0 en72tf Jackson MI
  42.291  -85.587     0.0 en72eg Kalamazoo MI
  42.734  -84.554     0.0 en72rr Lansing MI
  42.383  -83.375     0.0 en82hj Livonia MI
  42.637  -83.292     0.0 en82ip Pontiac MI
  42.503  -82.937     0.0 en82mm Roseville MI
  42.507  -83.147     0.0 en82km Royal Oak MI
  43.431  -83.935     0.0 en83ak Saginaw MI
  42.475  -83.277     0.0 en82il Southfield MI
  42.497  -82.887     0.0 en82nl St. Clair Shores MI
  42.583  -83.017     0.0 en82ln Sterling Heights MI
  42.225  -83.268     0.0 en82if Taylor MI
  42.610  -83.150     0.0 en82ko Troy MI
  42.508  -83.027     0.0 en82lm Warren MI
  42.297  -83.387     0.0 en82hh Westland MI
  42.897  -85.707     0.0 en72dv Wyoming MI
  44.825  -93.275     0.0 en34it Bloomington MN
  45.100  -93.375     0.0 en35hc Brooklyn Park MN
  46.782  -92.107     0.0 en36ws Duluth MN
  44.883  -93.350     0.0 en34hv Edina MN
  44.982  -93.262     0.0 en34ix Minneapolis MN
  44.940  -93.443     0.0 en34gw Minnetonka MN
  44.022  -92.467     0.0 en34sa Rochester MN
  45.567  -94.173     0.0 en25vn St. Cloud MN
  44.943  -93.350     0.0 en34hw St. Louis Park MN
  44.955  -93.102     0.0 en34kw St. Paul MN
  30.397  -88.883     0.0 em50nj Biloxi MS
  34.198  -90.575     0.0 em44re Clarksdale MS
  33.498  -88.417     0.0 em53sl Columbus MS
  33.407  -91.060     0.0 em43lj Greenville MS
  33.517  -90.182     0.0 em43vm Greenwood MS
  30.368  -89.093     0.0 em50ki Gulfport MS
  31.327  -89.288     0.0 em51ih Hattiesburg MS
  32.299  -90.185     0.0 em42vh Jackson MS
  31.688  -89.133     0.0 em51kq Laurel MS
  32.367  -88.700     0.0 em52pi Meridian MS
  31.563  -91.392     0.0 em41hn Natchez MS
  30.353  -88.547     0.0 em50ri Pascagoula MS
  30.525  -89.678     0.0 em50dm Picayune MS
  32.348  -90.878     0.0 em42ni Vicksburg MS
  37.310  -89.533     0.0 em57fh Cape Girardeau MO
  38.951  -92.329     0.0 em38uw Columbia MO
  38.797  -90.490     0.0 em48st Florissant MO
  39.093  -94.417     0.0 em29sc Independence MO
  38.517  -92.217     0.0 em38vm Jefferson City MO
  37.093  -94.512     0.0 em27rc Joplin MO
  39.082  -94.589     0.0 em29qb Kansas City MO
  37.217  -93.292     0.0 em37if Springfield MO
  38.787  -90.480     0.0 em48ss St. Charles MO
  39.766  -94.851     0.0 em29ns St. Joseph MO
  38.629  -90.206     0.0 em48vp St. Louis MO
  38.660  -90.333     0.0 em48up University City MO
  46.128 -112.953     0.0 dn36md Anaconda MT
  45.783 -108.501     0.0 dn55rs Billings MT
  45.682 -111.038     0.0 dn45lq Bozeman MT
  46.018 -112.536     0.0 dn36ra Butte MT
  47.502 -111.285     0.0 dn47im Great Falls MT
  48.550 -109.685     0.0 dn58dn Havre MT
  46.592 -112.040     0.0 dn36xo Helena MT
  48.195 -114.313     0.0 dn28ue Kalispell MT
  45.663 -110.563     0.0 dn45rp Livingston MT
  46.862 -114.008     0.0 dn26xu Missoula MT
  41.145  -95.892     0.0 en21bd Bellevue NE
  42.425  -97.360     0.0 en12hk Columbus NE
  41.440  -96.495     0.0 en11sk Fremont NE
  40.922  -98.353     0.0 en00tw Grand Island NE
  40.590  -98.387     0.0 en00to Hastings NE
  40.698  -99.083     0.0 en00lq Kearney NE
  40.816  -96.704     0.0 en10pt Lincoln NE
  42.028  -97.417     0.0 en12ga Norfolk NE
  41.138 -100.762     0.0 dn91od North Platte NE
  41.262  -95.937     0.0 en21ag Omaha NE
  35.978 -114.838     0.0 dm25nx Boulder City NV
  39.167 -119.767     0.0 dm09ce Carson City NV
  36.095 -115.042     0.0 dm26lc East Las Vegas NV
  40.830 -115.760     0.0 dn20ct Elko NV
  36.037 -114.980     0.0 dm26ma Henderson NV
  36.172 -115.144     0.0 dm26ke Las Vegas NV
  36.203 -115.112     0.0 dm26ke North Las Vegas NV
  36.100 -115.117     0.0 dm26kc Paradise NV
  39.524 -119.811     0.0 dm09cm Reno NV
  39.538 -119.753     0.0 dm09cm Sparks NV
  43.375  -72.337     0.0 fn33ti Claremont NH
  43.206  -71.540     0.0 fn43fe Concord NH
  42.882  -71.323     0.0 fn42iv Derry NH
  43.192  -70.880     0.0 fn43ne Dover NH
  42.933  -71.280     0.0 fn42iw Keene NH
  43.527  -71.470     0.0 fn43gm Laconia NH
  42.991  -71.461     0.0 fn42gx Manchester NH
  42.818  -70.812     0.0 fn42ot Merrimack NH
  43.075  -70.757     0.0 fn43ob Portsmouth NH
  43.303  -70.975     0.0 fn43mh Rochester NH
  42.700  -71.250     0.0 fn42jq Salem NH
  39.359  -74.431     0.0 fm29si Atlantic City NJ
  40.667  -74.120     0.0 fn20wq Bayonne NJ
  40.795  -74.200     0.0 fn20vt Bloomfield NJ
  39.945  -75.120     0.0 fm29kw Camden NJ
  40.883  -74.147     0.0 fn20wv Clifton NJ
  40.763  -74.210     0.0 fn20vs East Orange NJ
  40.662  -74.216     0.0 fn20vp Elizabeth NJ
  40.727  -74.225     0.0 fn20vr Irvington NJ
  40.730  -74.066     0.0 fn20xr Jersey City NJ
  40.737  -74.172     0.0 fn20vr Newark NJ
  40.917  -74.173     0.0 fn20vw Paterson NJ
  40.221  -74.770     0.0 fn20of Trenton NJ
  40.753  -74.038     0.0 fn20xs Union City NJ
  39.487  -75.027     0.0 fm29ll Vineland NJ
  32.900 -105.957     0.0 dm72av Alamogordo NM
  35.084 -106.651  1550.0 dm65qc Albuquerque NM
  34.402 -103.205     0.0 dm84jj Clovis NM
  36.733 -108.203     0.0 dm56vr Farmington NM
  35.525 -108.742     0.0 dm55pm Gallup NM
  32.700 -103.132     0.0 dm82kq Hobbs NM
  32.312 -106.778     0.0 dm62oh Las Cruces NM
  33.395 -104.527     0.0 dm73rj Roswell NM
  35.686 -105.936     0.0 dm75aq Santa Fe NM
  42.650  -73.750     0.0 fn32dp Albany NY
  42.101  -75.913     0.0 fn22bc Binghamton NY
  42.881  -78.872     0.0 fn02nv Buffalo NY
  40.790  -73.200     0.0 fn30js Central Islip NY
  40.910  -73.825     0.0 fn30cv Mount Vernon NY
  40.908  -73.782     0.0 fn30cv New Rochelle NY
  40.752  -73.994     0.0 fn30as New York NY
  43.093  -79.057     0.0 fn03lc Niagara Falls NY
  43.161  -77.606     0.0 fn13ed Rochester NY
  42.812  -73.928     0.0 fn32at Schenectady NY
  40.583  -74.150     0.0 fn20wn Staten Island NY
  43.051  -76.154     0.0 fn13wb Syracuse NY
  42.729  -73.683     0.0 fn32dr Troy NY
  43.103  -75.226     0.0 fn23jc Utica NY
  41.033  -73.763     0.0 fn31ca White Plains NY
  40.932  -73.898     0.0 fn30bw Yonkers NY
  35.595  -82.557     0.0 em85ro Asheville NC
  36.097  -79.433     0.0 fm06gc Burlington NC
  35.935  -79.067     0.0 fm05lw Chapel Hill NC
  35.229  -80.846     0.0 em95nf Charlotte NC
  36.000  -78.912     0.0 fm06na Durham NC
  35.055  -78.877     0.0 fm05nb Fayetteville NC
  35.265  -81.182     0.0 em95jg Gastonia NC
  36.071  -79.790     0.0 fm06cb Greensboro NC
  35.952  -80.005     0.0 em95xw High Point NC
